Loi,vods
c:vabb:268755,0505 Law and legal studies
c:vabb:268757,0505 Law and legal studies
c:vabb:268758,060203 Literary studies
c:vabb:268759,0699 Other humanities and the arts
c:vabb:268760,0505 Law and legal studies
c:vabb:268761,0505 Law and legal studies
c:vabb:268762,0399 Other medical and health sciences
c:vabb:268770,0306 Translational sciences
c:vabb:268777,0507 Social and economic geography
c:vabb:268793,060101 Archaeology
c:vabb:268794,060302 Philosophy
c:vabb:268797,0508 	Media and communications
c:vabb:268806,0505 Law and legal studies
c:vabb:268811,0306 Translational sciences
c:vabb:268811,0302 Clinical sciences
c:vabb:268817,0507 Social and economic geography
c:vabb:268827,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:268827,0107 Environmental sciences
c:vabb:268828,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:268828,0107 Environmental sciences
c:vabb:268830,0502 Economics and business
c:vabb:268831,0502 Economics and business
c:vabb:268835,0502 Economics and business
c:vabb:268849,0506 Political sciences
c:vabb:268850,0306 Translational sciences
c:vabb:268854,0502 Economics and business
c:vabb:268857,0502 Economics and business
c:vabb:268861,0508 	Media and communications
c:vabb:268876,060202 Linguistics
c:vabb:268883,060104 History
c:vabb:268884,060104 History
c:vabb:268893,0507 Social and economic geography
c:vabb:268897,0502 Economics and business
c:vabb:268923,0502 Economics and business
c:vabb:268935,060203 Literary studies
c:vabb:268982,0508 	Media and communications
c:vabb:268983,060104 History
c:vabb:269047,0505 Law and legal studies
c:vabb:269055,0505 Law and legal studies
c:vabb:269072,0505 Law and legal studies
c:vabb:269083,060203 Literary studies
c:vabb:269125,0505 Law and legal studies
c:vabb:269144,0505 Law and legal studies
c:vabb:269158,0502 Economics and business
c:vabb:269159,0505 Law and legal studies
c:vabb:269160,0505 Law and legal studies
c:vabb:269172,060203 Literary studies
c:vabb:269196,0502 Economics and business
c:vabb:269203,0504 Sociology and anthropology
c:vabb:269208,0604 Arts
